ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
ICE,triangle_sym,type2,time,2026-04-27,168.1999969482422,169.04099693298338,164.83599700927735,181.1318985484433,8.33,11,55.7,active,2026-01-26,2026-04-06
SHW,hs,pending,pending,,295.57435283340317,297.05965108884743,303.00084411062437,218.15762806037202,26.56,25,55.7,active,2025-10-27,2026-04-13
TT,ihs,pending,pending,,487.86257236818153,490.3018852300224,478.1053209208179,628.5026865117459,28.83,24,55.5,active,2025-10-20,2026-03-30
BNTX,hs,pending,pending,,73.35636968612671,73.72499465942383,75.19949455261231,23.449989318847656,68.19,24,55.1,active,2025-11-10,2026-04-20
MCO,hs,pending,pending,,346.2919619264012,348.0321225390967,354.99276498987865,151.66269778979597,56.42,24,55.1,active,2025-11-10,2026-04-20
AIG,ihs,pending,pending,,86.74037174260991,87.17407360132295,85.00556430775771,106.08858902354865,22.31,23,54.9,active,2024-11-04,2025-04-07
CNI,ihs,pending,pending,,123.56682275096412,124.18465686471893,121.09548629594484,157.22019891813136,27.23,23,54.9,active,2025-03-10,2025-08-11
AMRN,triangle_sym,pending,pending,,15.554816451641393,15.632590533899599,15.243720122608565,17.239633017723705,12.15,13,54.5,active,2026-01-19,2026-04-13
AMRN,hs,pending,pending,,12.877787376642226,12.942499876022339,13.201349873542785,4.985000133514404,61.48,23,54.5,active,2025-08-18,2026-01-19
AMT,ihs,pending,pending,,225.04480920592098,226.17003325195057,220.54391302180255,285.07736583706884,26.68,22,54.2,active,2024-11-11,2025-04-07
VEON,ihs,pending,pending,,56.55999980253332,56.84279980154598,55.42879980648265,70.52000113094554,24.68,22,54.2,active,2025-09-08,2026-02-02
ABNB,hs,pending,pending,,78.87563556671142,79.2719955444336,80.85743545532226,-5.3860015869140625,106.79,22,53.8,active,2025-01-06,2025-06-02
AIG,hs,pending,pending,,68.13373327738486,68.47611384661795,69.8456361235503,50.17409482367002,26.73,22,53.8,active,2025-10-06,2026-03-02
BYD,ihs,pending,pending,,90.0702399591612,90.52059115895699,88.26883515997797,104.15852052649248,15.64,21,53.6,active,2025-09-15,2026-02-02
XEL,ihs,pending,pending,,84.16083282019417,84.58163698429513,82.47761616379029,96.97379592725115,15.22,21,53.6,active,2025-10-27,2026-03-16
BNTX,hs,pending,pending,,77.27169700145721,77.65999698638916,79.21319692611695,26.049989700317383,66.46,21,53.2,active,2024-12-02,2025-04-21
EA,triangle_asc,pending,pending,,204.22000122070312,205.24110122680662,200.13560119628906,210.79348474582656,3.33,15,53.0,active,2025-12-29,2026-04-06
NDAQ,hs,pending,pending,,74.62336565245315,74.9983574396514,76.49832458844443,48.52804230782537,35.29,20,52.6,active,2025-10-20,2026-03-02
TDG,hs,pending,pending,,1102.9369246826172,1108.4793212890625,1130.6489077148437,753.9286132812499,31.99,20,52.6,active,2025-12-01,2026-04-13
ABNB,ihs,pending,pending,,147.07498931884766,147.81036426544188,144.1334895324707,183.33998107910156,24.66,19,52.4,active,2025-10-06,2026-02-09
ALL,ihs,type2,time,2026-04-13,213.87517173766997,214.9445475963583,209.59766830291656,241.49588476921156,12.91,13,52.0,active,2025-09-15,2025-12-08
META,hs,pending,pending,,491.38184791272585,493.85110342987525,503.72812549847276,244.3386462024755,50.52,19,52.0,active,2025-12-08,2026-04-13
PG,ihs,pending,pending,,177.8189579753468,178.7080527652235,174.26257881583984,220.00942786705167,23.73,18,51.8,active,2025-12-08,2026-04-06
MRSH,hs,pending,pending,,157.02194768958702,157.81100270310253,160.9672227571646,123.29162489723225,21.87,18,51.4,active,2025-12-15,2026-04-13
ORLY,hs,pending,pending,,86.19353495279947,86.62666829427083,88.35920166015624,64.53333536783853,25.5,18,51.4,active,2025-08-04,2025-12-01
AIG,ihs,pending,pending,,80.01403955708305,80.41410975486846,78.4137587659414,89.1958845987851,11.48,17,51.2,active,2025-11-24,2026-03-16
BIIB,ihs,pending,pending,,229.88251876831055,231.03193136215208,225.28486839294433,299.40503692626953,30.24,17,51.2,active,2025-12-15,2026-04-06
AFL,ihs,pending,pending,,129.14405115319374,129.7897714089597,126.56117013012987,153.0748259026551,18.53,16,50.5,active,2025-12-08,2026-03-23
ALL,ihs,pending,pending,,218.70587104334385,219.79940039856055,214.33175362247698,247.24398014287152,13.05,16,50.5,active,2025-12-08,2026-03-23
